Record_ID,URL_Limo,Date_Type,Date_1,Date_2,Language,Imprint_$a_$b_$c_$3_Place_Name_Date_of_Publication,Imprint_$e_$f_$g_Place_Name_Date_of_Manufacture,Physical_Extent_1,Physical_Extent_2,Color_Indication,Note_on_Content,ENGcontent,Source_of_Illustration,Main_Title,PlaceName1,Lat1,Long1,Object,PlaceName2,Lat2,Long2,PlaceName3,Lat3,Long3,PlaceName4,Lat4,Long4,Local_Subj_Building_Type,Local_Subj_Building,Local_Subj_Street,Local_Subj_Pano,Local_Subj_Event,Creator_Name1,Creator_Name 2,Creator_Name_$a3,Local_Uniform_Title_City1,Local_Uniform_Title_Category,(Typo)graphical_Terms_1,Inscriptions,Full_Inscription,URL_Digital_Object,URL_Thumbnail,Physical_Original
9984685980101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984685980101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",q,18uu,\\\\,fre,$c s.d°°° $3 1850-1900,,$c image: 177 x 242 mm,$c image with inscription: 209 x 242 mm.,$g Black-and-white,"$a Panoramisch zicht op het klooster van de dominicanen, waarbij de verschillende gebouwen zijn aangeduid en benoemd.","$a Panoramic view of the monastery of the Dominicans, where the various buildings are indicated and named.","$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.",$a Le Couvent des Dominicains,Onze-Lieve-Vrouw-ten-Predikherenkerk,50.87893,4.6961,,,,,,,,,,,$a VoL Building type$x churches (church buildings)°°° $a VoL Building type$x monastery,"$a VoL Building$x Leuven, Onze-Lieve-Vrouw ten Predikherenkerk","$a VoL Street$x Leuven, Onze-Lieve-Vrouwstraat",,,"$a Otto, Henri°°° $g Belgian painter, active 19th C.°°° $4 art°°° $3 graphic artist","$a de Jonge, F.B.°°° $4 art°°° $3 designer",,$a Leuven,Religious buildings°°° Streets,$b lithograph(s),$a coordinates (1-24)$b in the image: distributed°°°$b outside the image: top center°°°$b outside the image: top left°°°$b outside the image: bottom right°°°$b outside the image: bottom center,"$a coördinaten (1-24)$b in de voorstelling: verspreid°°°$a LE COUVENT DES DOMINICAINS, FONDÉ EN 1228, ET SUPPRIMÉ EN 1796.$b buiten de voorstelling:bovenaan, centraal°°°$a Louvain Monumental.$b buiten de voorstelling: bovenaan, links°°°$a H. Otto, sculp.$b buiten de voorstelling: onderaan, rechts°°°$a legende (1-24)$b buiten de voorstelling: onderaan, centraal",http://resolver.libis.be/IE978853/representation,http://resolver.libis.be/IE978853/thumbnail,KU Leuven Libraries BIBC BRES TA00383
9984686350101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984686350101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",q,18uu,\\\\,fre,$c s.d°°° $3 1850-1900,,$c image: 176 x 243 mm,$c image with inscription: 196 x 243 mm.,$g Black-and-white,"$a Gezicht op de priorij van Ter Bank. Bovenaan, links en rechts een penning geslagen ter gelegenheid van de herbouw van de gevel van de kerk in 1672. Rechts wapenschilden.","$a View of Ter Bank Priory. Top, left and right a medal struck on the occasion of the rebuilding of the facade of the church in 1672. On the right coats of arms.","$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.",$a Intérieur du couvent de Terbank,Couvent de Terbank,50.874155,4.672714,,,,,,,,,,,$a VoL Building type$x monastery°°° $a VoL Building type$x churches (church buildings),,"$a VoL Street$x Heverlee, Tervuursesteenweg",,,"$a Otto, Henri°°° $g Belgian painter, active 19th C.°°° $4 art°°° $3 designer","$a van Peteghem, Lodewijk Jozef°°° $g Belgian painter, draughtsman, etcher, lithographer°°° $d 1825-1900°°° $4 art°°° $3 graphic artist",,$a Heverlee,Religious buildings,$b lithograph(s),$b in the image: top left°°°$b in the image: top right°°°$b in the image: bottom left°°°$b in the image: bottom right°°°$b outside the image: top left°°°$b outside the image: bottom center,"$a A. / FUNDATUM / AB HENRICO PRI / MO DUCE BR / ABANTIÆ / ANNO 1197$b in de voorstelling: bovenaan, links°°°$a B. / CONSECRAT AD DEI HO / NOREM ET DAN / TISSIME CRUCIS / ANNO 1672$b in de voorstelling: bovenaan, rechts°°°$a H. Otto del.$b in de voorstelling: onderaan, links°°°$a L. Van Peteghem, Sculp.$b in de voorstelling: onderaan, rechts°°°$a Louvain Monumental.$b buiten de voorstelling: bovenaan, links°°°$a INTÉRIEUR DU COUVENT DE TERBANK$b buiten de voorstelling: onderaan, centraal",http://resolver.libis.be/IE978860/representation,http://resolver.libis.be/IE978860/thumbnail,KU Leuven Libraries BIBC BRES TA00384
9984686820101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984686820101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",q,18uu,\\\\,fre,$c s.d°°° $3 1850-1900,,$c image: 240 x 169 mm,$c image with inscription: 265 x 169 mm.,$g Black-and-white,$a Gezicht op de kerk van het Witte-Vrouwenklooster en op de priorij van de Elfduizend Maagden.,$a View of the church of the White Women's Monastery and the priory of the Eleven Thousand Virgins.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.",$a L'Eglise du Couvent des Dames blanches / Le Prieuré de onze mille vierges,Witte-Vrouwenklooster,50.88097,4.70366,,,,,,,,,,,$a VoL Building type$x churches (church buildings)°°° $a VoL Building type$x monastery,"$a VoL Building$x Leuven, Witvrouwenklooster°°° $a VoL Building$x Leuven, Priorij van de Elfduizend Maagden","$a VoL Street$x Leuven, Diestsestraat°°° $a VoL Street$x Leuven, Halvestraat",,,"$a van Peteghem, Lodewijk Jozef°°° $g Belgian painter, draughtsman, etcher, lithographer°°° $d 1825-1900°°° $4 art°°° $3 designer and graphic artist",,,$a Leuven,Religious buildings°°° Streets,$b lithograph(s),$b in the image: distributed°°°$b in the image: bottom right°°°$b outside the image: top left°°°$b outside the image: bottom center,"$a coördinaten (1-2)$b in de voorstelling: verspreid°°°$a L. Van Peteghem, del.t & sculp.t$b in de voorstelling: onderaan, rechts°°°$a Louvain Monumental.$b buiten de voorstelling: bovenaan, links°°°$a 1 L'Eglise du Couvent des Dames Blanches, bâtie en 1627. / 2 Le Prieuré de onze mille vierges, mirue, rebâti en 1653.$b buiten de voorstelling: onderaan, centraal",http://resolver.libis.be/IE978867/representation,http://resolver.libis.be/IE978867/thumbnail,KU Leuven Libraries BIBC BRES TA00385
9984687110101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984687110101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",q,18uu,\\\\,fre,$c s.d°°° $3 1850-1900,,$c image: 236 x 168 mm,$c image with inscription: 287 x 168 mm.,$g Black-and-white,"$a Schilderij 'De aanbidding der Koningen (Wijzen)' door Rubens in de kerk van het Witvrouwenklooster, gestolen in opdracht van keizer Jozef II.","$a Painting 'The Adoration of the Kings (Wise Men)' by Rubens in the church of the White-Women's Monastery, stolen by order of Emperor Joseph II.","$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.","$a Tableau excecuté en 1633, par P.-P. Rubens",Witte-Vrouwenklooster,50.88097,4.70366,yes,,,,,,,,,,$a VoL Building type$x monastery,"$a VoL Building$x Leuven, Witvrouwenklooster",,,,"$a Otto, Henri°°° $g Belgian painter, active 19th C.°°° $4 art°°° $3 designer","$a van Peteghem, Lodewijk Jozef°°° $g Belgian painter, draughtsman, etcher, lithographer°°° $d 1825-1900°°° $4 art°°° $3 graphic artist",,$a Leuven,Religious buildings,$b lithograph(s),$b in the image: bottom left°°°$b in the image: bottom right°°°$b outside the image: top left°°°$b outside the image: bottom center,"$a Dessiné par H. Otto d'après H. Witdouc$b in de voorstelling: onderaan, links°°°$a Gravé par L. van Peteghem$b in de voorstelling: onderaan, rechts°°°$a Louvain Monumental.$b buiten de voorstelling: bovenaan, links°°°$a TABLEAU EXÉCUTÉ EN 1663, PAR P.-P. RUBENS, / pour le maitre-autel de l'eglise du Couvent des Dames blanches, à Louvain, / (actuellement au Musée de Vienne.)$b buiten de voorstelling: onderaan, centraal",http://resolver.libis.be/IE978874/representation,http://resolver.libis.be/IE978874/thumbnail,KU Leuven Libraries BIBC BRES TA00386
9984687710101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984687710101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",q,18uu,\\\\,fre,$c s.d°°° $3 1850-1900,,$c image: 168 x 236 mm,$c image with inscription: 187 x 236 mm.,$g Black-and-white,$a Gezicht op de barokgevel van het klooster van de Zwartzusters en het kloostergebouw.,$a View of the Baroque facade of the Black Sisters' convent and the convent building.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.",$a Le Couvent des Sœurs Noires rebati en 1680,Klooster van de zwartzusters,50.87327,4.69766,,,,,,,,,,,$a VoL Building type$x monastery°°° $a VoL Building type$x churches (church buildings),"$a VoL Building$x Leuven, Klooster der Zwarte Zusters of van Nazareth","$a VoL Street$x Leuven, Zwartzustersstraat",,,"$a van Peteghem, Lodewijk Jozef°°° $g Belgian painter, draughtsman, etcher, lithographer°°° $d 1825-1900°°° $4 art°°° $3 designer and graphic artist",,,$a Leuven,Religious buildings°°° Streets,$b lithograph(s),$b in the image: bottom right°°°$b outside the image: top left°°°$b outside the image: bottom center,"$a L. Van Peteghem, delt & sculpt.$b in de voorstelling: onderaan, rechts°°°$a Louvain Monumental.$b buiten de voorstelling: bovenaan, links°°°$a LE COUVENT DES SŒURS NOIRES REBATI EN 1680.$b buiten de voorstelling: onderaan, centraal",http://resolver.libis.be/IE978881/representation,http://resolver.libis.be/IE978881/thumbnail,KU Leuven Libraries BIBC BRES TA00387
9984687960101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984687960101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",q,18uu,\\\\,fre,$c s.d°°° $3 1850-1900,,$c image: 174 x 243 mm,$c image with inscription: 190 x 243 mm.,$g Black-and-white,$a Gezicht op het klooster van de Clarissen.,$a View of the convent of the Poor Clares.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.",$a Extérieur du Couvent des Religieuses de Ste. Claire dites Clairisses,Zusters Klarissen,50.87211,4.73841,,,,,,,,,,,$a VoL Building type$x churches (church buildings)°°° $a VoL Building type$x monastery,"$a VoL Building$x Leuven, Clarissenklooster",,,,"$a Otto, Henri°°° $g Belgian painter, active 19th C.°°° $4 art","$a van Peteghem, Lodewijk Jozef°°° $g Belgian painter, draughtsman, etcher, lithographer°°° $d 1825-1900°°° $4 art",,$a Leuven,Religious buildings,$b lithograph(s),$b in the image: bottom left°°°$b outside the image: top left°°°$b outside the image: bottom center,"$a A. Joos$b in de voorstelling: onderaan, links°°°$a Louvain Mon.le$b buiten de voorstelling: bovenaan, links°°°$a EXTÉRIEUR DU COUVENT DES RELIGIEUSES DE Ste CLAIRE DITES CLAIRISSES, FONDÉ EN 1513 ET SUPPRIMÉ EN 1783.$b buiten de voorstelling: onderaan, centraal",http://resolver.libis.be/IE978888/representation,http://resolver.libis.be/IE978888/thumbnail,KU Leuven Libraries BIBC BRES TA00388
9984688080101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984688080101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",q,18uu,\\\\,fre,$c s.d°°° $3 1850-1900,,$c image: 173 x 243,$c image with inscription: 186 x 243 mm.,$g Black-and-white,$a Gezicht op het geheel van het klooster van de Clarissen.,$a View of the whole convent of the Poor Clares.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.","$a Intérieur du Couvent des Religieuses de Ste. Claire, dites Clairisses",Zusters Klarissen,50.87211,4.73841,,,,,,,,,,,,"$a VoL Building$x Leuven, Clarissenklooster",,,,"$a Joos, A.°°° $4 art",,,$a Leuven,Religious buildings,$b lithograph(s),$b in the image: bottom right°°°$b outside the image: top left°°°$b outside the image: bottom center,"$a A. Joos$b in de voorstelling: onderaan, rechts°°°$a Louvain Mon.l$b buiten de voorstelling: bovenaan, links°°°$a INTÉRIEUR DU COUVENT DES RELIGIEUSES DE St CLAIRE, DITES CLAIRISSES, FONDÉS EN 1513 ET SUPPRIMÉ EN 1783.$b buiten de voorstelling: onderaan, centraal",http://resolver.libis.be/IE978895/representation,http://resolver.libis.be/IE978895/thumbnail,KU Leuven Libraries BIBC BRES TA00389
9984688350101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984688350101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",q,18uu,\\\\,fre,$c s.d°°° $3 1850-1900,,$c image: 160 x 222 mm,$c image with inscription: 175 x 222 mm.,$g Black-and-white,$a Gezicht op de vertrekken en de kerk van de de abdij Onze-Lieve-Vrouw ten Wijngaert van de cisterciënzerinnen.,$a View of the rooms and the church of the Abbey of Our Lady at the Vineyard of the Cistercian women.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.","$a Le Couvent de la Vignette Notre-Dame, Dit sous le château",Onze-Lieve-Vrouw ten Wijngaert van de cisterciënzerinnen,50.885594,4.694382,,,,,,,,,,,$a VoL Building type$x churches (church buildings)°°° $a VoL Building type$x monastery,,"$a VoL Street$x Leuven, Mechelsestraat (formerly: Borchstraat/Schipstraat)",,,"$a Joos, A.°°° $4 art",,,$a Leuven,Religious buildings°°° Streets,$b lithograph(s),$b in the image: bottom left°°°$b outside the image: top left°°°$b outside the image: bottom center,"$a A. Joos$b in de voorstelling: onderaan, links°°°$a Louvain Mon.l$b buiten de voorstelling: bovenaan, links°°°$a LE COUVENT DE LA VIGNETTE NOTRE-DAME, DIT SOUS LE CHÂTEAU, FONDÉ EN 1519 ET SUPPRIMÉ EN 1798.$b buiten de voorstelling: onderaan, centraal",http://resolver.libis.be/IE978902/representation,http://resolver.libis.be/IE978902/thumbnail,KU Leuven Libraries BIBC BRES TA00390
9984688560101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984688560101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",q,18uu,\\\\,fre,$c s.d°°° $3 1850-1900,,$c image: 175 x 244 mm,$c image with inscription: 194 x 244 mm.,$g Black-and-white,$a Gezicht op het klooster van de Zusters Annuntiaten.,$a View of the convent of the Annunciate Sisters.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.","$a Le Couvent des Annonciades, fondé en 1527",Klooster van de zusters Annonciaden,50.87945,4.6889,,,,,,,,,,,$a VoL Building type$x monastery,"$a VoL Building$x Leuven, Klooster van de zusters Annonciaden","$a VoL Street$x Leuven, Tervuursestraat (formerly: Oude Brusselsestraat)",,,"$a Joos, A.°°° $4 art",,,$a Leuven,Religious buildings°°° Streets,$b lithograph(s),$b in the image: bottom left°°°$b outside the image: top left°°°$b outside the image: bottom center,"$a A. Joos$b in de voorstelling: onderaan, links°°°$a Louvain monumental.$b buiten de voorstelling: bovenaan, links°°°$a LE COUVENT DES ANNONCIADES, FONDÉS EN 1527 ET SUPPRIMÉ EN 1784.$b buiten de voorstelling: onderaan, centraal",http://resolver.libis.be/IE978909/representation,http://resolver.libis.be/IE978909/thumbnail,KU Leuven Libraries BIBC BRES TA00391
9984688790101488,"https://limo.libis.be/primo-explore/search?query=any,contains,9984688790101488&tab=all_content_tab&search_scope=ALL_CONTENT&vid=KULeuven&lang=en_US&offset=0",q,18uu,\\\\,fre,$c s.d°°° $3 1850-1900,,$c image: 176 x 240 mm,$c image with inscription: 195 x 240 mm.,$g Black-and-white,$a Gezicht op het klooster van de Ongeschoeide Karmelietessen.,$a View of the convent of the Discalced Carmelites.,"$a illustration from: Edward Van Even, Louvain monumental ou Description historique et artistique de tous les édifices civils et religieux de la dite ville, Leuven, Fonteyn, 1860.",$a Le Couvent des Carmélites Déchaussées dites Théresiennes,Klooster der Ongeschoeide Karmelieten,50.87262,4.6994,,,,,,,,,,,$a VoL Building type$x monastery°°° $a VoL Building type$x churches (church buildings),,"$a VoL Street$x Leuven, Tiensestraat",,,"$a Joos, A.°°° $4 art",,,$a Leuven,Religious buildings°°° Streets,$b lithograph(s),$b in the image: bottom left°°°$b outside the image: top left°°°$b outside the image: bottom center,"$a A. Joos.$b in de voorstelling: onderaan, links°°°$a Louvain mon.l$b buiten de voorstelling: bovenaan, links°°°$a LE COUVENT DES CARMÉLITES DÉCHAUSSÉES DITES THÉRESIENNES, FONDÉ EN 1607, SUPPRIMÉ EN 1783 ET DÉMOLIE En 1809.$b buiten de voorstelling: onderaan, centraal",http://resolver.libis.be/IE978916/representation,http://resolver.libis.be/IE978916/thumbnail,KU Leuven Libraries BIBC BRES TA00392
